freq_MHz,dBuV_y
30550000.0,10.74666
30553125.0,10.74683
30556250.0,10.74611
30559375.0,10.74458
30562500.0,10.74228
30565625.0,10.7393
30568750.0,10.73574
30571875.0,10.73166
30575000.0,10.72717
30578125.0,10.72237
30581250.0,10.71737
30584375.0,10.71226
30587500.0,10.70711
30590625.0,10.70203
30593750.0,10.69707
30596875.0,10.69231
30600000.0,10.68778
30603125.0,10.68354
30606250.0,10.6796
30609375.0,10.67596
30612500.0,10.67263
30615625.0,10.66957
30618750.0,10.66676
30621875.0,10.66417
30625000.0,10.66173
30628125.0,10.65938
30631250.0,10.65709
30634375.0,10.65475
30637500.0,10.65234
30640625.0,10.6498
30643750.0,10.64706
30646875.0,10.64408
30650000.0,10.64085
30653125.0,10.63731
30656250.0,10.63347
30659375.0,10.62933
30662500.0,10.62491
30665625.0,10.64098
30668750.0,10.66431
30671875.0,10.68274
30675000.0,10.69626
30678125.0,10.70484
30681250.0,10.70847
30684375.0,10.70711
30687500.0,10.70073
30690625.0,10.6892805
30693750.0,10.67276
30696875.0,10.65108
30700000.0,10.62424
30703125.0,10.59219
30706250.0,10.55725
30709375.0,10.55418
30712500.0,10.55157
30715625.0,10.54943
30718750.0,10.54779
30721875.0,10.54664
30725000.0,10.54598
30728125.0,10.54583
30731250.0,10.54616
30734375.0,10.54697
30737500.0,10.54827
30740625.0,10.55003
30743750.0,10.55228
30746875.0,10.55498
30750000.0,10.55815
30753125.0,10.56178
30756250.0,10.56587
30759375.0,10.57044
30762500.0,10.57547
30765625.0,10.58099
30768750.0,10.58695
30771875.0,10.5934
30775000.0,10.60031
30778125.0,10.60767
30781250.0,10.61546
30784375.0,10.62366
30787500.0,10.63222
30790625.0,10.64111
30793750.0,10.65025
30796875.0,10.65958
30800000.0,10.66905
30803125.0,10.67854
30806250.0,10.68792
30809375.0,10.69711
30812500.0,10.70599
30815625.0,10.71443
30818750.0,10.72227
30821875.0,10.72938
30825000.0,10.73561
30828125.0,10.74082
30831250.0,10.74487
30834375.0,10.74761
30837500.0,10.7489
30840625.0,10.74863
30843750.0,10.74667
30846875.0,10.74289
30850000.0,10.7372
30853125.0,10.72953
30856250.0,10.71979
30859375.0,10.70792
30862500.0,10.69386
30865625.0,10.67758
30868750.0,10.65907
30871875.0,10.6383
30875000.0,10.61529
30878125.0,10.59005
30881250.0,10.56259
30884375.0,10.53297
30887500.0,10.50121
30890625.0,10.46741
30893750.0,10.43159
30896875.0,10.39387
30900000.0,10.35431
30903125.0,10.39111
30906250.0,10.43079
