freq_MHz,dBuV_z
30543750.0,11.61131
30546875.0,11.71958
30550000.0,11.82059
30553125.0,11.91397
30556250.0,11.99939
30559375.0,12.07652
30562500.0,12.1451
30565625.0,12.20484
30568750.0,12.25549
30571875.0,12.29675
30575000.0,12.32838
30578125.0,12.35011
30581250.0,12.36164
30584375.0,12.36268
30587500.0,12.35293
30590625.0,12.33206
30593750.0,12.29976
30596875.0,12.25569
30600000.0,12.19956
30603125.0,12.13107
30606250.0,12.04992
30609375.0,11.95587
30612500.0,11.84871
30615625.0,11.72829
30618750.0,11.59452
30621875.0,11.4474
30625000.0,11.28699
30628125.0,11.11346
30631250.0,10.92708
30634375.0,10.72827
30637500.0,10.51753
30640625.0,10.29555
30643750.0,10.22095
30646875.0,10.20039
30650000.0,10.17855
30653125.0,10.1553
30656250.0,10.13045
30659375.0,10.10377
30662500.0,10.07504
30665625.0,10.04398
30668750.0,10.01027
30671875.0,9.97358
30675000.0,9.93347
30678125.0,9.8895
30681250.0,9.95761
30684375.0,10.09238
30687500.0,10.21664
30690625.0,10.33005
30693750.0,10.43231
30696875.0,10.52328
30700000.0,10.60286
30703125.0,10.67111
30706250.0,10.72812
30709375.0,10.77414
30712500.0,10.80948
30715625.0,10.83455
30718750.0,10.84986
30721875.0,10.85597
30725000.0,10.85356
30728125.0,10.84334
30731250.0,10.82608
30734375.0,10.80265
30737500.0,10.7738905
30740625.0,10.74071
30743750.0,10.70399
30746875.0,10.66463
30750000.0,10.62349
30753125.0,10.58134
30756250.0,10.6187105
30759375.0,10.72001
30762500.0,10.81493
30765625.0,10.90224
30768750.0,10.98077
30771875.0,11.04941
30775000.0,11.10706
30778125.0,11.1527405
30781250.0,11.1855
30784375.0,11.20446
30787500.0,11.20879
30790625.0,11.19775
30793750.0,11.17062
30796875.0,11.12682
30800000.0,11.06579
30803125.0,11.0871
30806250.0,11.15732
30809375.0,11.21927
30812500.0,11.27266
30815625.0,11.31721
30818750.0,11.35257
30821875.0,11.37837
30825000.0,11.3942
30828125.0,11.3996
30831250.0,11.39412
30834375.0,11.37722
30837500.0,11.3484
30840625.0,11.30709
30843750.0,11.25271
30846875.0,11.18467
30850000.0,11.10236
30853125.0,11.05037
30856250.0,11.21591
30859375.0,11.36263
30862500.0,11.4905405
30865625.0,11.59965
30868750.0,11.69002
30871875.0,11.7617
30875000.0,11.8148
30878125.0,11.8494
30881250.0,11.86559
30884375.0,11.86346
30887500.0,11.84308
30890625.0,11.80455
30893750.0,11.74794
30896875.0,11.67331
30900000.0,11.58073
30903125.0,11.47025
30906250.0,11.34192
30909375.0,11.19577
30912500.0,11.03184
30915625.0,10.85017
30918750.0,10.65076
30921875.0,10.4336605
30925000.0,10.19888
30928125.0,10.05055
30931250.0,10.15068
30934375.0,10.24251
30937500.0,10.3258705
30940625.0,10.40062
30943750.0,10.4667
30946875.0,10.52399
30950000.0,10.57244
30953125.0,10.61201
30956250.0,10.64266
30959375.0,10.66434
30962500.0,10.67706
30965625.0,10.68079
30968750.0,10.67552
30971875.0,10.66127
30975000.0,10.63805
30978125.0,10.60587
30981250.0,10.56477
30984375.0,10.51481
30987500.0,10.45602
30990625.0,10.38852
30993750.0,10.31239
30996875.0,10.22776
31000000.0,10.13478
31003125.0,10.03361
31006250.0,9.92448
31009375.0,9.80764
31012500.0,9.74657
31015625.0,9.88681
31018750.0,10.01986
31021875.0,10.1447
31025000.0,10.26041
31028125.0,10.4083605
